bunker_date,vessel_id,port_name,fuel_grade,quantity_mt,unit_price_usd,total_cost_usd,supplier,rob_before_mt,rob_after_mt,source_system,ingestion_date
2022-03-28,53,Dubai,HFO,1034.51,520.46,538421.07,Peninsula,777.48,1558.1,BUNKERWORLD,2026-04-06
2022-05-15,32,Shanghai,HFO,1462.35,596.24,871911.56,Peninsula,1349.31,2386.54,BUNKERWORLD,2026-04-06
2022-06-22,126,Hamburg,LSMGO,2719.17,435.59,1184443.26,Bunker One,227.35,514.32,BUNKERWORLD,2026-04-06
2022-04-04,21,Busan,MGO,378.09,385.85,145886.03,Bunker One,621.49,2309.0,BUNKERWORLD,2026-04-06
2022-06-12,146,Hamburg,LSMGO,2323.67,683.24,1587624.29,Integr8,1938.21,1925.85,BUNKERWORLD,2026-04-06
2022-06-02,144,Houston,MGO,851.8,791.57,674259.33,World Fuel Services,1524.17,2686.46,BUNKERWORLD,2026-04-06
2022-04-22,135,Dubai,LSMGO,1615.5,472.32,763032.96,World Fuel Services,1586.56,1847.66,BUNKERWORLD,2026-04-06
2022-05-19,21,Santos,HFO,410.83,352.38,144768.28,Bunker One,879.26,1390.92,BUNKERWORLD,2026-04-06
2022-06-08,66,Santos,HFO,1480.17,356.75,528050.65,Bunker One,1332.51,1401.14,BUNKERWORLD,2026-04-06
2022-05-24,68,Busan,LSMGO,251.72,453.36,114119.78,Bunker One,928.62,2474.79,BUNKERWORLD,2026-04-06
2022-06-24,20,Shanghai,HFO,2610.38,833.77,2176456.53,Peninsula,1399.16,839.62,BUNKERWORLD,2026-04-06
2022-05-12,89,Dubai,LSMGO,378.4,452.92,171384.93,Bunker One,1271.98,2637.08,BUNKERWORLD,2026-04-06
2022-05-15,30,Melbourne,HFO,2873.85,782.76,2249534.83,World Fuel Services,1847.29,1215.92,BUNKERWORLD,2026-04-06
2022-05-01,142,Dubai,VLSFO,2792.92,364.37,1017656.26,Bomin,599.72,1015.75,BUNKERWORLD,2026-04-06
2022-06-03,66,Montreal,MGO,850.17,650.32,552882.55,Bomin,1900.72,2995.76,BUNKERWORLD,2026-04-06
2022-05-28,55,Busan,VLSFO,1086.3,391.9,425720.97,World Fuel Services,1648.08,1534.51,BUNKERWORLD,2026-04-06
2022-04-08,33,Houston,MGO,1245.83,750.43,934908.21,Peninsula,991.93,2972.56,BUNKERWORLD,2026-04-06
2022-05-13,80,Singapore,LNG,2582.87,711.79,1838461.04,Integr8,1789.5,1498.98,BUNKERWORLD,2026-04-06
2022-05-20,61,Shanghai,VLSFO,2183.9,823.09,1797546.25,Peninsula,245.28,1647.21,BUNKERWORLD,2026-04-06
2022-06-20,93,Houston,MGO,2786.36,497.07,1385015.97,Peninsula,562.66,642.84,BUNKERWORLD,2026-04-06
2022-06-03,99,Busan,LSMGO,1573.76,761.96,1199142.17,Integr8,1936.85,1296.19,BUNKERWORLD,2026-04-06
2022-04-04,101,Rotterdam,LNG,2721.97,351.13,955765.33,Bunker One,1144.23,2395.5,BUNKERWORLD,2026-04-06
2022-05-23,63,Rotterdam,VLSFO,1288.42,733.75,945378.18,Bunker One,1812.72,2011.14,BUNKERWORLD,2026-04-06
2022-04-08,55,Rotterdam,MGO,2952.91,757.17,2235854.86,World Fuel Services,492.1,2968.9,BUNKERWORLD,2026-04-06
2022-04-22,36,Melbourne,LSMGO,1284.4,521.14,669352.22,World Fuel Services,1642.37,2802.18,BUNKERWORLD,2026-04-06
2022-04-12,75,Rotterdam,LNG,396.57,382.02,151497.67,Integr8,1029.5,1908.14,BUNKERWORLD,2026-04-06
2022-03-30,3,Dubai,LNG,2349.5,644.82,1515004.59,Bunker One,292.71,2009.55,BUNKERWORLD,2026-04-06
2022-04-29,104,Montreal,VLSFO,1663.04,630.28,1048180.85,World Fuel Services,577.17,944.23,BUNKERWORLD,2026-04-06
2022-04-17,127,Rotterdam,HFO,2578.36,593.42,1530050.39,Integr8,782.28,746.32,BUNKERWORLD,2026-04-06
2022-06-14,111,Montreal,LNG,96.61,754.67,72908.67,World Fuel Services,240.46,2595.85,BUNKERWORLD,2026-04-06
2022-05-21,111,Rotterdam,HFO,1907.39,630.06,1201770.14,Integr8,1389.78,2405.69,BUNKERWORLD,2026-04-06
2022-04-15,21,Rotterdam,HFO,749.55,731.98,548655.61,World Fuel Services,1485.32,1612.14,BUNKERWORLD,2026-04-06
2022-05-03,107,Rotterdam,VLSFO,1064.9,356.78,379935.02,Bomin,1863.35,1528.21,BUNKERWORLD,2026-04-06
2022-04-12,102,Hamburg,LSMGO,2030.6,657.73,1335586.54,Bomin,1735.42,1730.81,BUNKERWORLD,2026-04-06
2022-04-05,56,Singapore,MGO,2149.19,677.71,1456527.55,Bunker One,1925.14,1337.48,BUNKERWORLD,2026-04-06
2022-06-11,98,Houston,MGO,2009.02,610.41,1226325.9,Integr8,472.92,2113.64,BUNKERWORLD,2026-04-06
2022-05-06,76,Santos,LNG,1203.37,611.69,736089.4,World Fuel Services,1547.72,597.4,BUNKERWORLD,2026-04-06
2022-05-25,44,Melbourne,LSMGO,2126.45,725.78,1543334.88,Bomin,166.31,2959.7,BUNKERWORLD,2026-04-06
