log_date,vessel_id,fuel_grade,consumption_mt,speed_knots,distance_nm,running_hours,eeoi,load_factor,sea_condition,source_system,ingestion_date
2021-01-01,1,HFO,82.05,13.4,321.6,24,794.4767,0.84,Moderate,FMS_MARITIME,2026-04-06
2021-01-02,1,MGO,25.94,10.6,254.4,24,317.5203,0.77,Rough,FMS_MARITIME,2026-04-06
2021-01-03,1,HFO,53.5,16.2,388.8,24,428.4954,0.82,Calm,FMS_MARITIME,2026-04-06
2021-01-04,1,LNG,30.74,15.4,369.6,24,258.9945,0.82,Moderate,FMS_MARITIME,2026-04-06
2021-01-05,1,VLSFO,75.28,9.8,235.2,24,996.6918,0.94,Calm,FMS_MARITIME,2026-04-06
2021-01-06,1,HFO,30.55,16.2,388.8,24,244.6829,0.58,Rough,FMS_MARITIME,2026-04-06
2021-01-07,1,LNG,19.16,16.2,388.8,24,153.4574,0.83,Moderate,FMS_MARITIME,2026-04-06
2021-01-08,1,VLSFO,38.18,12.0,288.0,24,412.8212,0.67,Calm,FMS_MARITIME,2026-04-06
2021-01-09,1,VLSFO,36.26,13.5,324.0,24,348.4989,0.75,Moderate,FMS_MARITIME,2026-04-06
2021-01-10,1,MGO,58.86,14.2,340.8,24,537.8229,0.41,Rough,FMS_MARITIME,2026-04-06
2021-01-11,1,LNG,75.14,8.0,192.0,24,1218.6769,0.58,Calm,FMS_MARITIME,2026-04-06
2021-01-12,1,MGO,49.66,12.2,292.8,24,528.1463,0.85,Calm,FMS_MARITIME,2026-04-06
2021-01-13,1,HFO,53.19,9.7,232.8,24,711.4848,0.74,Calm,FMS_MARITIME,2026-04-06
2021-01-14,1,HFO,26.61,14.0,336.0,24,246.6177,0.94,Moderate,FMS_MARITIME,2026-04-06
2021-01-15,1,HFO,31.67,16.8,403.2,24,244.5942,0.57,Rough,FMS_MARITIME,2026-04-06
2021-01-16,1,VLSFO,17.42,13.7,328.8,24,164.9814,0.5,Calm,FMS_MARITIME,2026-04-06
2021-01-17,1,VLSFO,28.47,11.5,276.0,24,321.2159,0.5,Calm,FMS_MARITIME,2026-04-06
2021-01-18,1,VLSFO,19.71,10.4,249.6,24,245.9012,0.89,Rough,FMS_MARITIME,2026-04-06
2021-01-19,1,HFO,39.08,16.1,386.4,24,314.946,0.47,Rough,FMS_MARITIME,2026-04-06
2021-01-20,1,MGO,38.64,10.3,247.2,24,486.7515,0.88,Rough,FMS_MARITIME,2026-04-06
2021-01-21,1,LNG,30.82,17.0,408.0,24,235.2291,0.75,Rough,FMS_MARITIME,2026-04-06
2021-01-22,1,VLSFO,34.94,16.1,386.4,24,281.5817,0.77,Calm,FMS_MARITIME,2026-04-06
2021-01-23,1,VLSFO,26.35,9.9,237.6,24,345.3447,0.64,Calm,FMS_MARITIME,2026-04-06
2021-01-24,1,LSMGO,24.26,13.9,333.6,24,226.4558,0.42,Rough,FMS_MARITIME,2026-04-06
2021-01-25,1,VLSFO,52.69,15.5,372.0,24,441.0663,0.47,Moderate,FMS_MARITIME,2026-04-06
2021-01-26,1,LSMGO,21.33,15.5,372.0,24,178.5527,0.43,Moderate,FMS_MARITIME,2026-04-06
2021-01-27,1,LSMGO,42.5,15.5,372.0,24,355.7661,0.76,Calm,FMS_MARITIME,2026-04-06
